"postcode_area","FRall","FR34","FR45","FR56","FR67","FR78","FR89","FR910","FRm10"
"AB",0.234600784439653,0.126166871698386,0.148172323759791,0.174008593826877,0.201064234131509,0.231947004968284,0.253677584407715,0.280492091388401,0.312948699562162
"AL",0.164359045279274,0.0795364572086662,0.0912652840640411,0.107999435665914,0.122165664044424,0.140162486753797,0.15672550213025,0.175044203081586,0.227843025662252
"B",0.154775692029428,0.0933860531991373,0.0975872468763464,0.106001694830766,0.119073397150728,0.130443232848127,0.144852941176471,0.16075073313783,0.192324389590392
"BA",0.226333884332437,0.0945480395909663,0.111080009330534,0.125227452993048,0.146774708606099,0.164481242324605,0.186873866056638,0.210203489576858,0.293709230108199
"BB",0.164321031356339,0.0675517945725124,0.08746159350141,0.102643444434621,0.118695618695619,0.134265579456149,0.147421771705597,0.17328178016255,0.217593667159384
"BD",0.182162837055772,0.0896756082345602,0.0951764180437695,0.112504250255015,0.137173005056056,0.149608889538709,0.167798768838888,0.18819753966839,0.231451503196844
"BH",0.207146629652424,0.0969672607083836,0.107640982354596,0.121174540944913,0.135340152399259,0.154269070916648,0.174671916010499,0.192445073460035,0.263257598417503
"BL",0.182594178657209,0.0844044746654968,0.0983372145279242,0.115513271645163,0.134541264354115,0.160066529383811,0.182498699011249,0.203901101331328,0.25181146703481
"BN",0.218972044044525,0.106008739985433,0.115882099970227,0.130616340800207,0.145790436970945,0.165319987698158,0.184345891839288,0.204312114989733,0.280660360722574
"BR",0.132078680346919,0.0828025477707006,0.0874783002490754,0.0913625405270596,0.10566724711097,0.116194367948832,0.126403899131172,0.138611357025421,0.181677247896058
"BS",0.224220454659961,0.109856809086493,0.123030485964383,0.13852075314678,0.161885885224541,0.176175503008052,0.197497310458071,0.221159437726844,0.288387554340062
"CA",0.191466386089268,0.0922711058263972,0.102790942601369,0.115968490792425,0.13462869802003,0.15903028033884,0.184403274450668,0.206808139217719,0.267448029711089
"CB",0.187227733210002,0.0980165607548623,0.108799473019707,0.118186255898465,0.132230645531817,0.148294748469646,0.167247546546822,0.186812652068127,0.239732161309434
"CF",0.212990218131805,0.097652773186176,0.114169281729428,0.130207542668778,0.154764907223924,0.178226138233681,0.201657365696228,0.226351778014325,0.282686489423612
"CH",0.200219829267326,0.0896124773403564,0.10635498577242,0.121372705506784,0.145286526684164,0.165985713156022,0.186264308012487,0.213188619360689,0.267909905100284
"CM",0.162500050953233,0.0862976331523985,0.0963632679937193,0.109018036072144,0.12938514706248,0.139113978036038,0.157329371768134,0.175615818488895,0.217789304324857
"CO",0.187062373214453,0.0852873427440789,0.0953001929998435,0.110834687246141,0.128105897356964,0.144439636520987,0.159321164450904,0.183457572646521,0.240312179139604
"CR",0.136885063061548,0.0938916357643181,0.0992483926469257,0.104918032786885,0.115746026170194,0.118361526357199,0.126875615549505,0.136336416261894,0.170041184739451
"CT",0.199650152147373,0.0909413015235621,0.103926335937096,0.118464138586669,0.134737984355925,0.159193801149225,0.176103626045141,0.192936852955676,0.2551133126359
"CV",0.170933253052086,0.0760202433509206,0.0891320204230489,0.10251102732806,0.123520546123498,0.142612193056732,0.164451041128893,0.182693652940354,0.226386875834825
"CW",0.183459785175712,0.0819523269012486,0.0984638630067993,0.117070919440029,0.138088431924017,0.166544722882751,0.182386887153872,0.209116439835818,0.249626811768671
"DA",0.130131908498915,0.0776894942615714,0.0805726131341182,0.0967477676742853,0.104902190008573,0.111144839549003,0.125031779122388,0.139665787159191,0.174227803158006
"DD",0.253063592962836,0.129632152588556,0.155092881186884,0.180154142581888,0.218892581535515,0.242736867069845,0.272445232366722,0.292220113851992,0.339244219821076
"DE",0.172124359529191,0.0733424490152154,0.0871466582365183,0.104150943396226,0.120201672968947,0.140606897780946,0.160893676985318,0.181091180866966,0.231711685055556
"DG",0.190131023238454,0.0729559748427673,0.0885127635960044,0.114879074658254,0.135362839811278,0.160552955262871,0.183459325284892,0.208670736265105,0.261158793291931
"DH",0.181080977699575,0.084788029925187,0.10054330457015,0.124960132678446,0.147544680611152,0.17341362774618,0.193625943528096,0.210086116101852,0.234623714451401
"DL",0.201449984037244,0.0814516679173204,0.0995121377769941,0.127061051693405,0.154525591557808,0.181846875281811,0.203229219375316,0.225106013385787,0.268588096663898
"DN",0.183479089411726,0.0851542606738912,0.100249827247116,0.115459776354359,0.133980899899596,0.150337798888607,0.173924989696387,0.190814288883958,0.242818438902842
"DT",0.213624315250044,0.0861670518322879,0.0942934782608696,0.107216761510605,0.121862306009791,0.145299971017293,0.162447257383966,0.188807922272048,0.266024988610699
"DY",0.173849060844888,0.0835228032633409,0.0906762295081967,0.110667427267541,0.127040962474936,0.142387683442874,0.161275647149811,0.182855743325986,0.222531674795809
"E",0.112598492175759,0.0640357408786299,0.063800549666274,0.0769006168108325,0.0856143654583361,0.0905489530277306,0.0995142128805733,0.11080394922426,0.154230999576389
"EH",0.219110185699748,0.114538336933045,0.135850525496302,0.16481223922114,0.189837083010085,0.210618120576618,0.231834360621582,0.256999975243235,0.294090626052693
"EN",0.115821253981502,0.0604715856404822,0.077267696199863,0.0856166184591112,0.0942987731537166,0.101337279403705,0.109023795399117,0.122805707029207,0.148930453057973
"EX",0.234316411029627,0.104975187682911,0.115150598994747,0.133150951881277,0.146279549420911,0.173619341076084,0.195268527204503,0.21662560452596,0.297965561179092
"FK",0.216183266558646,0.102908545727136,0.124539100764955,0.157455382843984,0.186248820878315,0.212062148465779,0.241333752752438,0.262746864909514,0.308101552393273
"FY",0.210775584435267,0.0881941669996005,0.106462268146015,0.127392244965884,0.147347882642,0.170111850488461,0.191958400468727,0.217453505007153,0.278525250946282
"G",0.200326728560815,0.115418994413408,0.133423474506041,0.160338348820024,0.180714022819286,0.202563009958493,0.221805107597948,0.238083410948981,0.270053929702821
"GL",0.214012329015343,0.0916279933172452,0.102879847634059,0.123845386373145,0.142951053164973,0.165901502504174,0.1867713175341,0.209723649342924,0.275601294607916
"GU",0.188728122167213,0.0983966862971625,0.110165375865859,0.12192076580912,0.135929170287217,0.151822051737849,0.169176608644631,0.189237573715249,0.246442332391472
"HA",0.131791690949963,0.0766368515205725,0.0796445523788498,0.0900886883460401,0.0980543993805053,0.104534404396998,0.110530728058296,0.127215997730818,0.17379846792734
"HD",0.199587073193301,0.102348484848485,0.120190572439183,0.133974259575128,0.160332457199687,0.185685396504406,0.20020925192437,0.222939008042895,0.267740599517301
"HG",0.190432223938424,0.0875122910521141,0.0982783357245337,0.128387713890955,0.149862150452934,0.173437171121869,0.190345584201865,0.220654421603211,0.27104704027781
"HP",0.164506391819691,0.0884088964927288,0.0973532542858192,0.110082458770615,0.123585123585124,0.135335558027438,0.153776916153154,0.1681566142356,0.211732037486984
"HR",0.193758977172553,0.0794067462921643,0.086567839764626,0.103132583278182,0.129315277512874,0.146219100611147,0.1609154617227,0.191078201191981,0.249743156548937
"HS",0.196309446955025,0.0702274975272008,0.102990033222591,0.120870870870871,0.147936507936508,0.164285714285714,0.205454545454545,0.214927436074637,0.258377316803731
"HU",0.218925553121036,0.097048418607107,0.107775175644028,0.128450306170513,0.157931062482238,0.182743166310009,0.208385534118433,0.237113862935312,0.298211808809747
"HX",0.178728760226558,0.0835654596100279,0.0972735018460665,0.118281000532198,0.132559209013566,0.156541549142981,0.179815910585141,0.188920454545455,0.228769568518025
"IG",0.120476322283143,0.0752574197456087,0.0833656706764972,0.0884280213470243,0.0960341901828923,0.107991670855173,0.107109708557639,0.122285332442366,0.161975190839695
"IP",0.190944193037849,0.0934393638170974,0.102681020296215,0.11019549701755,0.127000516262261,0.139701235277219,0.158489699890974,0.182450959713141,0.247386812984704
"IV",0.211906088089708,0.101036269430052,0.1195,0.139416818536839,0.166732272394984,0.200499829603544,0.223109981236003,0.243620156710517,0.294602354292277
"KA",0.201894897597891,0.0955708328637439,0.11334016693513,0.139530323086728,0.1697167848499,0.192990142387733,0.219174826504421,0.238672730335186,0.281210098481688
"KT",0.149258375373833,0.0836387723559285,0.091013687760365,0.103014037985136,0.111241572608136,0.125382262996942,0.1375950887495,0.150792475188861,0.196442273688706
"KW",0.193609283473529,0.0866666666666667,0.100924809006836,0.120883534136546,0.138907619689818,0.167687842631409,0.183057448880234,0.211756373937677,0.253839430640529
"KY",0.258617827485166,0.115461301431938,0.141084158161957,0.174541214640576,0.204787121372591,0.238042221556117,0.2665891091324,0.293368358445678,0.343668050434968
"L",0.171253365907591,0.0849865862948365,0.0985176671676539,0.116011445633242,0.129409759700051,0.150208350812428,0.171024057308853,0.187626806504979,0.225829890593535
"LA",0.200295108177983,0.0764842934040331,0.0953465015065283,0.11542953542694,0.138676073416745,0.159011754462342,0.180870838731482,0.205483543396452,0.268272579830369
"LD",0.234031049664015,0.0917874396135266,0.107511045655376,0.123897707231041,0.152400835073069,0.174224343675418,0.210625589437284,0.23551594103531,0.29915454187967
"LE",0.171850130668062,0.111429969745506,0.105623524361451,0.107954805361145,0.123592915594145,0.13904119739182,0.154601204397709,0.176571737702384,0.216466088859682
"LL",0.196951814529376,0.0782350352112676,0.0928277752398355,0.109407940969782,0.124580461221986,0.149285266250702,0.166373267611945,0.193972512005299,0.254459241697383
"LN",0.216752466328736,0.0929551205220402,0.105678233438486,0.124504361617764,0.150591066011089,0.174111070855546,0.199648378923419,0.224110760918505,0.292031519952804
"LS",0.206965441154546,0.102015315113261,0.119750349976668,0.142179091843521,0.164970986963649,0.186455196760461,0.20825721592985,0.228226355182581,0.269155927413881
"LU",0.155239866959806,0.0911111111111111,0.095313382269904,0.103254899693588,0.116726957762266,0.131460444171528,0.144675080838636,0.159031739877029,0.19284857063729
"M",0.181020581440503,0.0927422047138946,0.105019886058261,0.117586117586118,0.135018357660965,0.147785973937629,0.166255928096589,0.184389164805136,0.227747386008408
"ME",0.17125422430797,0.0952447699477871,0.105394669400308,0.118351909495599,0.128098325071133,0.140293932016951,0.157281139656642,0.173269122934327,0.219759851336542
"MK",0.17690943117596,0.091348412645144,0.102894515314382,0.115165061898212,0.130398671096346,0.14705421743352,0.170898153239109,0.18519558957792,0.233133387243712
"ML",0.210570699345555,0.113112733478714,0.139973428191831,0.167657661875556,0.190054556837492,0.218952241485191,0.240487467404609,0.266541471048513,0.284313277597576
"N",0.125562369179042,0.0786400877362751,0.0850963798777621,0.0857863751051304,0.0956686118188543,0.100071684587814,0.108318184667461,0.123799046571324,0.162170256701267
"NE",0.189178508810098,0.0808095761779883,0.0994130594277329,0.121777573634954,0.145729056902002,0.173055931181675,0.196676223496466,0.219526199781437,0.256820854496778
"NG",0.201231407506518,0.0867412392248655,0.100480550556687,0.122064636131132,0.144068218391758,0.164712406908572,0.186899797826636,0.210575510749099,0.264381089287083
"NN",0.202071733690748,0.124083245379015,0.136935549835206,0.149893097128894,0.163972544548036,0.171849234393404,0.188372714247553,0.208275826150361,0.253541809975035
"NP",0.213282442748092,0.0873892704289838,0.101882373351839,0.126519124984009,0.1481681422299,0.17204618513416,0.200743376326323,0.226088991408418,0.27916862441613
"NR",0.200906127429028,0.0906801007556675,0.096310523217992,0.113913896069168,0.132069855129986,0.152729493563845,0.168986959951738,0.194051646506194,0.259228093615409
"NW",0.131707801230729,0.08292838365331,0.0913468717336121,0.101037618685149,0.112547288776797,0.117074329137972,0.128332808068074,0.132778827977316,0.181538892613756
"OL",0.181410837763336,0.0814365503573359,0.0910453934443181,0.110715194706032,0.134591251344568,0.154642748819273,0.176265574627516,0.198183710150412,0.243281343485423
"OX",0.188886290265324,0.0950127154563436,0.112283232651098,0.124759784034408,0.139044327408383,0.150947647075389,0.165577278189759,0.187906330871678,0.246874616987376
"PA",0.214470118420598,0.124522182323642,0.139282607583278,0.160249398381098,0.182995911531452,0.206702144475473,0.225873761085029,0.252554257095159,0.291574279379157
"PE",0.183761582204811,0.0898471638991324,0.0993722800473297,0.1094010754682,0.128533179996766,0.143729258726863,0.161560384752405,0.185264623431356,0.240564584758195
"PH",0.22488034589862,0.113807774124927,0.130135778522306,0.154080783806267,0.18185510071475,0.210313106591274,0.234052151944419,0.258818574286617,0.314550798385682
"PL",0.237533417952906,0.0932104649931151,0.10872330758746,0.134739707383464,0.151808630779234,0.175103289494433,0.200291267907032,0.223366970813946,0.29924453644787
"PO",0.21483937869631,0.10773962395764,0.119080112662969,0.131220177232447,0.147847770299714,0.166620013995801,0.185371490721229,0.203362400057972,0.269635323014726
"PR",0.182343607472194,0.0862007097005702,0.0932466798530658,0.115777444468252,0.132669621122277,0.152931260535681,0.17046349789916,0.195900684432795,0.247680144620459
"RG",0.173406238664641,0.0926187711415156,0.0993283359695573,0.111331913886917,0.125415317323464,0.139775815217391,0.156796202643953,0.175216316440049,0.227503643134715
"RH",0.176365319915856,0.0913163738361448,0.103145987981619,0.109480691456999,0.126279210635381,0.137733234507428,0.156990443775363,0.175116673737802,0.228238699914468
"RM",0.128758203023649,0.0751395253868143,0.0830109174487646,0.093691733996271,0.103942133815552,0.111774474142021,0.123099064523867,0.131481990651636,0.169290401297484
"S",0.169107513821546,0.0844073983479783,0.0909959278065457,0.106279154398386,0.122192930394335,0.140649624702834,0.156737407312708,0.175643994000553,0.221102932585582
"SA",0.208428730921244,0.0887442347322626,0.105916873201721,0.126984126984127,0.143865141481036,0.170573297076207,0.192367408474157,0.219443225586271,0.276548202582239
"SE",0.129082446042244,0.0810551558752998,0.0877216671167522,0.0924528301886792,0.102582047220892,0.103353089226273,0.113322649020317,0.132998061076103,0.161082560234933
"SG",0.169489691366583,0.0878392934080138,0.0959077485585712,0.116076912174611,0.127915436299054,0.141603790138621,0.159776992113136,0.176727061331266,0.221612557920188
"SK",0.185274044396823,0.0960196309633832,0.103555757300651,0.123424570337365,0.138500489096035,0.161313408908737,0.179555162763294,0.204883644706654,0.252271756160091
"SL",0.13588256227758,0.0790950937464915,0.0747236180904523,0.0890155440414508,0.0998101566207878,0.110569105691057,0.12427836674714,0.13562192987409,0.176311693753554
"SM",0.146083375542293,0.0889670771550641,0.0904198062432723,0.0943910256410256,0.110747330960854,0.118052563550194,0.134177621032382,0.143164307471779,0.178842595546481
"SN",0.20234663561386,0.0919964071290124,0.102117472241714,0.12067461471358,0.136804974726354,0.155397011322898,0.176447532513807,0.200492188373914,0.26763653583079
"SO",0.191371144385108,0.0901073357489574,0.10324650811627,0.117097768232328,0.131374480192602,0.15406281553914,0.168410811947833,0.189768095572734,0.24773596756695
"SP",0.227131624968602,0.102392152937644,0.114418999151824,0.133492154768751,0.157194422818317,0.176553767423069,0.200412947915279,0.220779220779221,0.288110737534874
"SR",0.21134903194948,0.086703935109065,0.104896496815287,0.132430398796087,0.161444197713628,0.189712166411352,0.220196924078444,0.24309630652399,0.287203340916036
"SS",0.149424593980241,0.0798702437313695,0.0866387484197219,0.100140760104565,0.108436891750262,0.129414905789915,0.140867786475748,0.154795944892124,0.19070182667216
"ST",0.20371686241784,0.0929329868796715,0.106977286643147,0.130602282084461,0.154269764634882,0.17554740859783,0.199979098082249,0.222068185033244,0.272420942258656
"SW",0.143194163593831,0.0886128364389234,0.0956491104456579,0.103956375449588,0.115769572953737,0.124666242848061,0.136988428981906,0.145522041763341,0.187718065800258
"SY",0.189911736312233,0.0855470225355659,0.0943980534203396,0.10734558534255,0.126966186304983,0.147516610137992,0.168911625287464,0.191775365926516,0.25051928679966
"TA",0.210555929475195,0.0903405142460042,0.0963061662595307,0.110016303962572,0.124498938929498,0.1489666574814,0.16527341462116,0.182850716896261,0.267837737713016
"TD",0.194373773351748,0.0807228915662651,0.0955583359399437,0.116304180163505,0.158601109820622,0.167773005336457,0.209075952837949,0.217144658052316,0.266285537700865
"TF",0.201282420929912,0.0883190883190883,0.104768153980752,0.118502899314707,0.139954663756192,0.162225076256221,0.190347698712513,0.210547900262467,0.259425955454966
"TN",0.185666837446778,0.0956855644355644,0.103154662199888,0.117347799201754,0.130819239295589,0.149039782234098,0.162025837665346,0.182129067843354,0.238180870380542
"TQ",0.234332626382032,0.0958887545344619,0.114988501149885,0.130248656526095,0.142846623959944,0.167239867826556,0.183531875899987,0.211319490957803,0.289766090409999
"TR",0.243747181143823,0.106179869368615,0.115465782333434,0.134071613141381,0.159107534747623,0.178162249739613,0.200830247952429,0.220235652734627,0.305645614214235
"TS",0.192750570921086,0.086718945524318,0.102116421523677,0.127551207357737,0.141621621621622,0.168788538822591,0.192970680660219,0.213763049204852,0.253998251040279
"TW",0.130409933662187,0.070142589658649,0.0800411346302168,0.0917921321029626,0.0969280108025994,0.106841273425152,0.115430044024482,0.132802370809409,0.174324098924927
"UB",0.119145486167111,0.07960399227302,0.075893405378853,0.0827740492170022,0.0901934205724415,0.0984290357529794,0.10188004766318,0.118121406704995,0.151209099897432
"W",0.139565427008695,0.076592082616179,0.0952472580334809,0.101699826154143,0.117062949804136,0.12792166771952,0.133963538149899,0.151806822019588,0.188428668046646
"WA",0.181306402008365,0.0958888178170611,0.104640484036519,0.12276884170906,0.139140642061585,0.163034975974969,0.182161928128157,0.203275623045427,0.248965140966185
"WD",0.182931670300715,0.103458090223424,0.116758698689375,0.126848528356066,0.143348229632176,0.157713448149505,0.177393504850274,0.196887233839397,0.249500371152858
"WF",0.179326478514807,0.0859713701431493,0.0957697046634059,0.112410631022692,0.134580688272636,0.149411530021943,0.175138103487726,0.193510159980482,0.238590992873311
"WN",0.191008632760166,0.0870727361088612,0.101664967720014,0.121618845442717,0.140362497741916,0.164685502658145,0.190081622557507,0.208780160857909,0.255553195005075
"WR",0.190145181869775,0.0783393758441743,0.088621997471555,0.107480997466329,0.124037199748959,0.148162561850225,0.171998662356482,0.19247009148487,0.253725752072577
"WS",0.188320424236883,0.0917090954805456,0.108925318761384,0.123058362237973,0.142318103518989,0.161688311688312,0.180461222555678,0.200050507176228,0.238848544046658
"WV",0.168291277219535,0.0853044936672257,0.0936023360764534,0.106860017123288,0.124308891507296,0.133089240813446,0.154791380100871,0.179266300311897,0.223575713636979
"XX",0.114688856729378,0.0617283950617284,0.072463768115942,0.0790697674418605,0.116666666666667,0.120171673819742,0.126373626373626,0.115942028985507,0.135686274509804
"YO",0.211584081692806,0.0911147515406818,0.109759826069233,0.128619097374364,0.154272128961178,0.172746843544539,0.204684588767634,0.226353002508879,0.286186160295718
"ZE",0.199283419817149,0.0924431401320616,0.107672469374597,0.134982332155477,0.158355795148248,0.192186515437933,0.228118538938663,0.256260434056761,0.283432749663267
